created_at,username,tweet
2021-01-13 04:44:24,dodyprass2,orang lolos dari kecelakaan pesawat sriwijaya sj bukan menjadi pelaku dalam kisah ini namun mendengar saja saya s 
2021-01-13 04:44:19,chillinaris,ythketua umum terpaksa harus buktikan memang kau bodoh sekali karena sepanjang sejarah jatu 
2021-01-13 04:44:13,ayaaav30,black box sriwijaya air sj ditemukan 
2021-01-13 04:44:11,oiea90,orang lolos dari kecelakaan pesawat sriwijaya sj bukan menjadi pelaku dalam kisah ini namun mendengar saja saya s 
2021-01-13 04:44:10,wachidnz,ythketua umum terpaksa harus buktikan memang kau bodoh sekali karena sepanjang sejarah jatu 
2021-01-13 04:44:07,aidaaaaa24,orang lolos dari kecelakaan pesawat sriwijaya sj bukan menjadi pelaku dalam kisah ini namun mendengar saja saya s 
2021-01-13 04:44:04,nfmr____,tipu bini outsation ke pontianak naik sriwijaya air tapi g bali ngan scandal sekarang pening nak balik ke tak ke jakaa 
2021-01-13 04:44:01,riannelayan,kapolres bangka barat besea staf dan bhayangkari turut berduka cita atas musibah terjatuhnya sriwijaya air sj 
2021-01-13 04:43:59,tacomunchie,iya soalnya nanti kalo belakangnya siregar jatohnya jadi pengacara bukan pesawat udara alias yang jual jasa 
2021-01-13 04:43:58,XINDEKAISHl,mksud gw kek heran gasih cewe sange ngeliat pesawat dibiarin tapi kalo sange ngeliat cewe lain dianggepnya dosa besar banget atauuu pas ngeliat cowo umur nikah sama anak baru lulus sd dibanding ngeliat two year old men kissing lebih serem ngeliat yang yo gitu aneh
2021-01-13 04:43:56,aidaaaaa24,tapi kadang suatu masalah yang kita hadapi menjadi cara tuhan menyelamatkan kita keep believing god is good ket foto 
2021-01-13 04:43:56,EnergiBangsa,sebelum jatuhnya pesawat beberapa korban siwijaya mempunyai firasat tak biasa 
2021-01-13 04:58:38,taikhucing20,semoga para korban diberikan tempat terbaik disisinya 
2021-01-13 04:58:38,harimahakita,tipu bini outsation ke pontianak naik sriwijaya air tapi g bali ngan scandal sekarang pening nak balik ke tak ke jakaa 
2021-01-13 04:58:16,gigglewoozi,pmj pencarian jatuhnya pesawat sriwijaya air sj kondisi langsung dari dasar laut jatuhnya pesawat sriwijaya air sj di p 
2021-01-13 04:58:02,fikrizamriii,tipu bini outsation ke pontianak naik sriwijaya air tapi g bali ngan scandal sekarang pening nak balik ke tak ke jakaa 
2021-01-13 04:57:49,doniwipri03,suasana di posko crisis center dan posko antemoem saat melakukan identifikasi keluarga korban pesawat udara sriwijaya 
2021-01-13 04:57:45,gigglewoozi,bagian mesin turbin pesawat sriwijaya air sj telah berhasil ditemukan turbin ini kemudian diangkat ke dermaga jict 
2021-01-13 04:57:30,Tomaerius,tipu bini outsation ke pontianak naik sriwijaya air tapi g bali ngan scandal sekarang pening nak balik ke tak ke jakaa 
2021-01-13 04:57:25,tribunnews,ada penumpang sriwijaya air pakai data palsu kuasa hukum pemilik ktp asli kenapa bisa lolos via 
2021-01-13 04:57:21,BySaraAli,tipu bini outsation ke pontianak naik sriwijaya air tapi g bali ngan scandal sekarang pening nak balik ke tak ke jakaa 
2021-01-13 04:57:18,tenku_hafiz,tipu bini outsation ke pontianak naik sriwijaya air tapi g bali ngan scandal sekarang pening nak balik ke tak ke jakaa 
2021-01-13 04:57:13,anisajayanti_,fdr sriwijaya air sj ditemukan mesin hidup saat menghunjam laut 
2021-01-13 04:57:00,kompascom,tim disaster victim identification dvi polri berhasil mengidentifikasi empat korban pesawat sriwijaya air sj hingga selasa 
2021-01-13 04:56:53,DarmanSu_,ini sah aja sih tapi etis judul tentu umpan klik pakai tanda tanya tentu pembuat konten pengen yuk nonton vid kami akan kami jelaskan dapet adsense peanyaannya siapa yang masih mikir kecelakaan sj ialah sabotase yaa ke juta penduduk armenia 
2021-01-13 04:56:52,indozonemedia,sebuah video in memorian sriwijaya air sj viral hingga ditonton juta views sukses bikin netizen sedih 
2021-01-13 04:56:50,bonitapriliana,kirim doa sebanyaknya untuk sriwijaya air sj amp tim yang lagi berjuang di kepulauan seribu sana gak berani liat beritanya dari kemarin dan akhirnya hari ini baru liat beritanya gara papa bilang tik kalo udah tinggal bali jangan sering balik ke jkt ya lah kl kgn gmn
2021-01-13 04:56:46,ryzkyCatalan31,nasional jumlah penemuan operasi sar sj hari ke januari pkl wib 
2021-01-13 04:56:46,tbvhanis,tipu bini outsation ke pontianak naik sriwijaya air tapi g bali ngan scandal sekarang pening nak balik ke tak ke jakaa 
2021-01-13 04:56:40,RianiOesman,nasional jumlah penemuan operasi sar sj hari ke januari pkl wib 
2021-01-13 04:56:39,OrangBi86612284,suasana di posko crisis center dan posko antemoem saat melakukan identifikasi keluarga korban pesawat udara sriwijaya 
2021-01-13 04:56:38,girllhermosa,tipu bini outsation ke pontianak naik sriwijaya air tapi g bali ngan scandal sekarang pening nak balik ke tak ke jakaa 
2021-01-13 04:56:32,ZaimNashruddin,tipu bini outsation ke pontianak naik sriwijaya air tapi g bali ngan scandal sekarang pening nak balik ke tak ke jakaa 
2021-01-13 04:56:29,bongol_satu,orang lolos dari kecelakaan pesawat sriwijaya sj bukan menjadi pelaku dalam kisah ini namun mendengar saja saya s 
2021-01-13 04:56:18,LAVIR60152756,polri konferensi pres pesawat sriwijaya air sj rumkit bhayangkara minggu januari 
2021-01-13 04:56:16,damiabee,tipu bini outsation ke pontianak naik sriwijaya air tapi g bali ngan scandal sekarang pening nak balik ke tak ke jakaa 
2021-01-13 04:55:47,PatrickKaligis,orang lolos dari kecelakaan pesawat sriwijaya sj bukan menjadi pelaku dalam kisah ini namun mendengar saja saya s 
2021-01-13 04:55:42,Andy_Wijaya_90,sarah bingung namanya masuk daftar penumpang sriwijaya air padahal tak pernah pinjamkan ktp via 
2021-01-13 04:55:39,NAndrianto21,tnial penyelam tni al temukan salah satu bagian black box sriwijaya air sjy yaitu fdr flight data recorder 
2021-01-13 04:55:34,aimxnhxkimm,tipu bini outsation ke pontianak naik sriwijaya air tapi g bali ngan scandal sekarang pening nak balik ke tak ke jakaa 
2021-01-13 04:55:33,infogehnet,akhirnya black box sriwijaya air sj ditemukan 
2021-01-13 04:55:26,LAVIR60152756,suasana di posko crisis center dan posko antemoem saat melakukan identifikasi keluarga korban pesawat udara sriwijaya 
2021-01-13 04:55:23,amierulfadzli,tipu bini outsation ke pontianak naik sriwijaya air tapi g bali ngan scandal sekarang pening nak balik ke tak ke jakaa 
2021-01-13 04:55:14,jawapos,fdr sriwijaya air sj ditemukan mesin hidup saat menghunjam laut 
2021-01-13 04:55:14,syaff9530,tipu bini outsation ke pontianak naik sriwijaya air tapi g bali ngan scandal sekarang pening nak balik ke tak ke jakaa 
2021-01-13 04:55:12,zhaadoank,pria kerasukan jin qorin penumpang sriwijaya air sebut kecelakaan terjadi begitu cepat 
2021-01-13 04:54:49,alifghostbird_,tipu bini outsation ke pontianak naik sriwijaya air tapi g bali ngan scandal sekarang pening nak balik ke tak ke jakaa 
2021-01-13 04:54:48,Avotomato,tipu bini outsation ke pontianak naik sriwijaya air tapi g bali ngan scandal sekarang pening nak balik ke tak ke jakaa 
2021-01-13 04:54:41,Sakkapp,ini adalah rakaman black box dari cockpit adam air flight yang terhempas di selat makkasar pada januari ia 
2021-01-13 04:54:30,intan_suraya97,tipu bini outsation ke pontianak naik sriwijaya air tapi g bali ngan scandal sekarang pening nak balik ke tak ke jakaa 
2021-01-13 04:54:27,sriadiramandal1,kapolres bangka barat besea staf dan bhayangkari turut berduka cita atas musibah terjatuhnya sriwijaya air sj 
2021-01-13 04:54:25,humaspoldajbr,polda jabar tim selam ditpolairud polda jaba dikirim untuk membantu evakuasi pesawat sriwijaya air sj di kepulauan seribu mereka beranggotakan enam personel dan telah diberangkatkan pada minggu sore 
2021-01-13 04:54:20,namasayaeija,tipu bini outsation ke pontianak naik sriwijaya air tapi g bali ngan scandal sekarang pening nak balik ke tak ke jakaa 
2021-01-13 04:54:19,gabannn7,tipu bini outsation ke pontianak naik sriwijaya air tapi g bali ngan scandal sekarang pening nak balik ke tak ke jakaa 
2021-01-13 04:54:03,HumanIn_Aceh,aceh bersama kita doakan juga agar keluarga yang ditinggalkan diberikan kesabaran dan keikhlasan hadapi musibah ini ya aamii 
2021-01-13 04:53:54,HumanIn_Aceh,bersama kita doakan juga agar keluarga yang ditinggalkan diberikan kesabaran dan keikhlasan hadapi musibah ini ya aamiin 
2021-01-13 04:53:48,aisyahaqilah__,tipu bini outsation ke pontianak naik sriwijaya air tapi g bali ngan scandal sekarang pening nak balik ke tak ke jakaa 
2021-01-13 04:53:46,MaheranHafizah,tipu bini outsation ke pontianak naik sriwijaya air tapi g bali ngan scandal sekarang pening nak balik ke tak ke jakaa 
2021-01-13 04:53:46,jawapos,terhalang cuaca ekstrem pencarian sriwijaya air dihentikan sementara 
2021-01-13 04:53:32,zhaadoank,penemu black box lion air merasa pencarian sriwijaya air lebih ringan 
2021-01-13 04:53:26,dwi_PAL1109,rakyat palestina menyampaikan belasungkawa ikut merasakan duka mendalam atas musibah jatuhnya sriwijaya air sj 
2021-01-13 04:53:25,haikalzlatan,tipu bini outsation ke pontianak naik sriwijaya air tapi g bali ngan scandal sekarang pening nak balik ke tak ke jakaa 
2021-01-13 04:53:25,aienzaty,tipu bini outsation ke pontianak naik sriwijaya air tapi g bali ngan scandal sekarang pening nak balik ke tak ke jakaa 
2021-01-13 04:53:17,Nepal_News_En,tht indonesia retrieves crashed sriwijaya air plane s flight data recorder 
2021-01-13 04:53:13,SoniMsi07,orang lolos dari kecelakaan pesawat sriwijaya sj bukan menjadi pelaku dalam kisah ini namun mendengar saja saya s 
2021-01-13 04:53:12,iim666,tim basarnas yang hendak melakukan pencarian dengan kapal km karna terpaksa kembali karena cuaca buruk 
2021-01-13 04:53:07,VideoTRIBUN,manajemen sriwijaya air jemput keluarga captain afwan dari bogor sudah melakukan ante moem baca selengkapnya 
2021-01-13 04:53:01,peachyjuewa,tipu bini outsation ke pontianak naik sriwijaya air tapi g bali ngan scandal sekarang pening nak balik ke tak ke jakaa 
2021-01-13 04:52:57,febriandwiwaa,nasional jumlah penemuan operasi sar sj hari ke januari pkl wib 
2021-01-13 04:52:55,pmi_tangerangct,pmi kota tangerang melakukan pemeriksaan kesehatan terhadap anggota tim sar gabungan yang akan melakukan pencarian korban kecelakaan pesawat sriwijaya air di posko tanjung kait kabupaten tangerang nasional 
2021-01-13 04:52:50,gfrencht0ast,tipu bini outsation ke pontianak naik sriwijaya air tapi g bali ngan scandal sekarang pening nak balik ke tak ke jakaa 
2021-01-13 04:52:45,tobbyartha,hysteria vs sj drop masih ga kebayang keadaan mereka gmn pernah naik hysteria di dufan kan atau minimal liat deh ba 
2021-01-13 04:52:33,Andy_Wijaya_90,pemkab kepulauan seribu berencana membangun monumen jatuhnya sriwijaya air sj di pulau lancang pembangunan dikerjasamakan 
2021-01-13 04:52:17,Arojas15260108,black box pesawat sriwijaya air sj telah ditemukan pada selasa pukul wib black box yang ditemukan ini a 
2021-01-13 04:51:58,dreamsacapes,orang lolos dari kecelakaan pesawat sriwijaya sj bukan menjadi pelaku dalam kisah ini namun mendengar saja saya s 
2021-01-13 04:51:48,Ixdman_,tipu bini outsation ke pontianak naik sriwijaya air tapi g bali ngan scandal sekarang pening nak balik ke tak ke jakaa 
2021-01-13 04:51:41,detikcom,tim dvi polri menjelaskan proses identifikasi korban sriwijaya air sj berdasarkan dna tim dvi mengungkit proses identifikasi saat air asia dan lion air 
2021-01-13 04:51:15,jerukmasamanis,tipu bini outsation ke pontianak naik sriwijaya air tapi g bali ngan scandal sekarang pening nak balik ke tak ke jakaa 
2021-01-13 04:51:08,indozonemedia,tim dvi polri berhasil mengidentifikasi empat potongan tubuh korban jatuhnya pesawat sriwijaya air sj namun body pa itu belum dipulangkan ke pihak keluarganya masing masing 
2021-01-13 04:51:06,dodigamaliel,yang bilang sj disabotase yak 
2021-01-13 04:50:59,suckyouth,buat yang kaget atau tremor liat berita tadi nih liat ini dulu biar tenang 
2021-01-13 04:50:49,gigglewoozi,black box sriwijaya air sj ditemukan 
2021-01-13 04:50:42,miechmya,tipu bini outsation ke pontianak naik sriwijaya air tapi g bali ngan scandal sekarang pening nak balik ke tak ke jakaa 
2021-01-13 04:50:33,ilmazidnaWTC,orang lolos dari kecelakaan pesawat sriwijaya sj bukan menjadi pelaku dalam kisah ini namun mendengar saja saya s 
2021-01-13 04:50:31,karep_q,orang lolos dari kecelakaan pesawat sriwijaya sj bukan menjadi pelaku dalam kisah ini namun mendengar saja saya s 
2021-01-13 04:50:31,soitsnisha,tipu bini outsation ke pontianak naik sriwijaya air tapi g bali ngan scandal sekarang pening nak balik ke tak ke jakaa 
2021-01-13 04:50:25,_itsmerosy,tnial penyelam tni al temukan salah satu bagian black box sriwijaya air sjy yaitu fdr flight data recorder 
2021-01-13 04:50:14,iim666,cuaca buruk ekstrem upaya pencarian sriwijaya air sj sementara dihentikan 
2021-01-13 04:50:04,kompascom,selain dokter ahli forensik dokter gigi juga turut membantu proses identifikasi korban kecelakaan pesawat sriwijaya air sj 
2021-01-13 04:50:03,Syaherry,orang lolos dari kecelakaan pesawat sriwijaya sj bukan menjadi pelaku dalam kisah ini namun mendengar saja saya s 
2021-01-13 04:50:02,kompascom,pihak maskapai sriwjaya air berjanji akan menjelaskan soal dugaan penggunaan ktp palsu dalam penerbangan sriwijaya air sj 
2021-01-13 04:49:57,MrsAmron23,awalnya niatku gak bikin giveaway mpe hari sejak peristiwa sj sbg rasa empati tp berita dan info yg beredar ttg peristi 
2021-01-13 04:49:45,fachri_abdillah,black box atau kotak hitam pesawat sriwijaya air sj ditemukan simak perkembangan beritanya di sini 
2021-01-13 04:49:34,ridwanjadu1,kami segenap keluarga besar jkt living star apaemen turut berduka atas jatuh nya sriwijaya air semoga keluarga korban di kasih kesabaran dan keikhlasan jakaa living star apaemen dibangun oleh perusahaan 
2021-01-13 04:49:34,Esahben,tipu bini outsation ke pontianak naik sriwijaya air tapi g bali ngan scandal sekarang pening nak balik ke tak ke jakaa 
2021-01-13 04:49:24,siswantosh10,polda jawa timur besea jajaran mengucapkan turut berduka cita atas jatuhnya pesawat sriwijaya air sj rute penerbangan 
2021-01-13 04:49:22,PrimaBerita,pencarian hari kelima korban sriwijaya ai sj 
2021-01-13 04:49:12,Lindale77476599,kapolres bangka barat besea staf dan bhayangkari turut berduka cita atas musibah terjatuhnya sriwijaya air sj 
2021-01-13 04:49:09,AwanSeptiant,orang lolos dari kecelakaan pesawat sriwijaya sj bukan menjadi pelaku dalam kisah ini namun mendengar saja saya s 
2021-01-13 04:49:08,IPutuGedeSubag1,boalemo bnnkboalemo turut berbelasungkawa atas insiden yang menimpa seluruh korban jatuh pesawat sriwijaya air sj 
2021-01-13 04:49:04,HibbanAbdullah,tipu bini outsation ke pontianak naik sriwijaya air tapi g bali ngan scandal sekarang pening nak balik ke tak ke jakaa 
2021-01-13 04:49:03,sabhatansabiz,media rs polri terima kantong jenazah korban jatuhnya sriwijaya air sj teridentifikasi 
2021-01-13 04:48:48,mazuisme,tipu bini outsation ke pontianak naik sriwijaya air tapi g bali ngan scandal sekarang pening nak balik ke tak ke jakaa 
2021-01-13 04:48:43,x_xzxcha,tipu bini outsation ke pontianak naik sriwijaya air tapi g bali ngan scandal sekarang pening nak balik ke tak ke jakaa 
2021-01-13 04:48:41,marvyterence,tipu bini outsation ke pontianak naik sriwijaya air tapi g bali ngan scandal sekarang pening nak balik ke tak ke jakaa 
