original_tweet,sentiment_result
vaksin covid sinovac telah mulai didistribusikan oleh pt bio farma ke provinsi di indonesia sebanyak vaksin sud ,0
terulang ketika menjalani operasi di usia muda saya menunggu waktu yang tepat dan memutuskan untuk menyelesaikannya awal tahun depan terlepas dari situasi covid saya telah merencanakan untuk menjalani operasi setelah tahap akhir tahun tetapi saya menyelesaikannya tahun,1
kasus covid pascalibur tahun baru positif sembuh ,8
siap siap vaksinasi covid untuk masyarakat umum mulai april ,0
sdh dp uang muka beli vaksin mau bgmn lagi izin darurat bisa di atur sdh bisa di tebak bahkan hasil akhir uji klinis bisa jg demikian ,10
tenaga kesehatan asal indonesia beberkan efek samping vaksin covid ,2
responden survei litbang kompas menilai ekonomi dan vaksinasi jadi agenda penting atasi pandemi covid ,-24.0
overload uji spesimen pcr di lab kabupaten blitar catatkan lonjakan kasus covid ,1
x guy ada mangsa banjir yang kematian ahli keluarga rosak kereta rumah perabot amp selainnya moga moga all h mempermudahkan u ,1
pelssy dicontohkan dulu pemerintah terlebih dahulu kasih obaat dan vaksin,2
sampurasun wargi jaba pasca terjangkit virus covid hal hal apa saja yang akan kita rasakan via ,0
ok dumdum kalo sudah tau itu racun kenapa harus ambil resiko untuk menularkan ke yg lain faham khilafah bahkan lebi ,-8.75
nfn pemerintah memastikan suplai vaksin covid aman vaksin dari sinovac pemerintah mengamankan suplai ,4
lipi jihad kemanusiaan muhammadiyah selama pandemi covid telah melakukan berbagai aksi nyata membantu peme ,8
dki jakaa mencatatkan sejumlah lonjakan kasus covid akhir tahun kemarin namun pemprov dki tidak memutuskan tak memperk ,0
mereka tidak memikirkan bagaimana orang orang yang tinggal di rumah tentang masalah ekonomi banyak orang yang terkena damp ,1
siap divaksin peama tapi nik jokowi tidak terdaftar sebagai penerima vaksin bohong lagi ,-2
bhabinkamtibmas kelurahan bekasi jaya bekasi timur bripka heriyanto melakukan patroli wilayah dan memberikan himbauan kepada warga masyarakat untuk tetap mematuhi protokol kesehatan mari patuhi prokes covid ,14
ditelpon tiba tiba oleh seorang teman sa aku dipanggil kemenkes kenapa katanya urgent iih bahaya dasar gob ,-11
bincangkan pelajar matrikulasi kena tanggung risiko demi jawab pspm ftf covid bukan main la pihak hep ,-5
tadi malam vaksin covid tiba di lampung tetapi dalam proses pemindaian ,0
gamau iri cuman pengen cicip vaksin kayak apa yak rasanya,-5
bersediakah kamu untuk divaksin survei terakhir smrc menyebut hanya yang menyatakan bersedia kami beanya pada mas ,4
tahun ini akan menjadi tahun yg berat bukan hanya tentang covid namun juga tentang rezim yg sudah berketetapan hati u ,2
pelssy tea kasih contoh dong pejabatnya dulu disuntik vaksin siaran langsung di seluruh tv nasional semua proses harus jelas biar rakyat percaya ,10.5
pdip akan gelar perayaan hut ke di tengah pandemi covid ,-3
jwr seandainya yg terburuk adl penerima vaksin itu meninggal krn vaksin yg belum jelas pembuktiannya bgm jadi pilihannya ,-3
perkenalkan saya muhammad rizky saputra seorang mahasiswa fakultas psikologi saya melakukan penelitian berkenaan tentang hubu ,0
ini ada anjuran dari bu dokter tenntang bagaimana hidup ditengah covid sepei sekarang ,0
pengiriman perdana vaksin covid ke propinsi di tanah air kemarin bersama atasi pandemi dan dukung program vaksinasi ,-7
pundong putus penyebaran covid babinsa kalurahan srihardono serda marsono anggota koramil pundong jajaran kodim bantul bersama forum pengurangan risiko bencana fprb melaksanakan himbauan dan membagikan masker yang dilaksanakan dipasar pundong kalurahan srihardono ,-9
ayo patuhi protokol kesehatan kita cegah penyebaran virus covid bersama ,6
oms chega em wuhan para investigar origens da covid ,0
kementerian kesihatan thailand meluluskan penggunaan herba untuk rawatan peringkat awal covid andrographis paniculata green chiretta atau hempedu bumi sudah diuji sebagai rawatan alternatif bagi mengurangkan kesan akibat virus ini selanjutnya ,5
semoga kita semua sadar dan peduli rumah sakit memang bisa dibangun apd bisa dibeli vaksin bisa dicari tapi nyawa ,4
ppr batu muda kampung batu muda tambahan fokus penyampaian maklumat kempen putuskan rantaian covid pelaksanaa ,7
hari yang lalu pasien datang dengan keluhan demam batuk sesak dan diare dan hasil swab covid hari ini pasien s ,-11
id terkait vaksin yang akan dijalankan peamakali kalau tidak salah sta januari berikut rekomendasi p ,-7
